date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:15	125/125	---MCZ	200	added ('OK')	text/plain	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/robots.txt		(from )
18:05:16	17865/17865	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/index.html	(from )
18:05:17	127343/127343	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/dist/css/bootstrap.min.css	(from http://getbootstrap.com/)
18:05:18	23081/23081	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/css/docs.min.css	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/css/docs.min.css	(from http://getbootstrap.com/)
18:05:18	1738/1738	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/img/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/img/favicons/apple-touch-icon.png	(from http://getbootstrap.com/)
18:05:19	491/491	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/img/favicons/favicon-32x32.png	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/img/favicons/favicon-32x32.png	(from http://getbootstrap.com/)
18:05:20	310/310	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/img/favicons/favicon-16x16.png	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/img/favicons/favicon-16x16.png	(from http://getbootstrap.com/)
18:05:20	506/506	---MCZ	200	added ('OK')	application/json	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/img/favicons/manifest.json	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/img/favicons/manifest.json	(from http://getbootstrap.com/)
18:05:21	1025/1025	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/img/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/img/favicons/safari-pinned-tab.svg	(from http://getbootstrap.com/)
18:05:22	5430/5430	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/favicon.ico	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/favicon.ico	(from http://getbootstrap.com/)
18:05:23	266/266	---MCZ	200	added ('OK')	application/xml	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/img/favicons/browserconfig.xml	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/img/favicons/browserconfig.xml	(from http://getbootstrap.com/)
18:05:27	35234/35234	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/getting-started/introduction/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/getting-started/introduction/index.html	(from http://getbootstrap.com/)
18:05:29	19013/19013	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/index.html	(from http://getbootstrap.com/)
18:05:31	52160/52160	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/img/bootstrap-stack.png	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/img/bootstrap-stack.png	(from http://getbootstrap.com/)
18:05:31	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/bootstrap4/www.google-analytics.com/analytics.js	(from http://getbootstrap.com/)
18:05:32	1249/1249	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/index.html	(from http://getbootstrap.com/)
18:05:32	231733/231733	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	https://getbootstrap.com/assets/brand/bootstrap-social.png	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/brand/bootstrap-social.png	(from http://getbootstrap.com/)
18:05:35	30138/30138	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/getting-started/download/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/getting-started/download/index.html	(from http://getbootstrap.com/)
18:05:35	7092/7092	---MCZ	200	added ('OK')	application/javascript	etag:W/%221bb4-56043a46a4c2d%22	https://cdn.carbonads.com/carbon.js?zoneid=1673&serve=C6AILKT&placement=getbootstrapcom	C:/My%20Web%20Sites/bootstrap4/cdn.carbonads.com/carbonf863.js	(from http://getbootstrap.com/)
18:05:36	11364/11364	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	https://getbootstrap.com/2.3.2/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/2.3.2/index.html	(from http://getbootstrap.com/)
18:05:36	10045/10045	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	https://getbootstrap.com/docs/3.3/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/3.3/index.html	(from http://getbootstrap.com/)
18:05:36	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Dec%202017%2011:35:38%20GMT	http://getbootstrap.com/docs/4.0/getting-started/download	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/getting-started/download	(from http://getbootstrap.com/)
18:05:38	38188/38188	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/layout/overview/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/layout/overview/index.html	(from http://getbootstrap.com/)
